user_id,cover_story,a_value,b_value,c_value,d_value,estimation,is_first,is_symmetric,sample_number,timestamp,phase,reason
mcll53kpea68dgzp2d.p77,3,6,3,3,6,61,1,0,2,2025/7/2 15:39,examine1,実験未完了
mcll53kpea68dgzp2d.p77,1,6,0,6,0,0,1,0,3,2025/7/2 15:40,examine1,実験未完了
mcll53kpea68dgzp2d.p77,5,7,0,6,1,83,1,0,6,2025/7/2 15:40,examine1,実験未完了
mcll53kpea68dgzp2d.p77,4,7,3,3,7,62,1,0,5,2025/7/2 15:40,examine1,実験未完了
mcll53kpea68dgzp2d.p77,9,7,6,0,13,39,1,0,4,2025/7/2 15:41,examine1,実験未完了
mcll53kpea68dgzp2d.p77,6,6,6,0,12,60,1,0,1,2025/7/2 15:41,examine1,実験未完了
mcll69xvddcgubiz4f,4,7,3,3,7,68,1,1,5,2025/7/2 15:41,examine1,類似回答（オンライン形式）
mcll69xvddcgubiz4f,11,6,3,3,6,34,1,1,2,2025/7/2 15:41,examine1,類似回答（オンライン形式）
mcll69xvddcgubiz4f,6,7,6,0,13,53,1,1,4,2025/7/2 15:41,examine1,類似回答（オンライン形式）
mcll69xvddcgubiz4f,5,6,0,6,0,0,1,1,3,2025/7/2 15:42,examine1,類似回答（オンライン形式）
mcll69xvddcgubiz4f,3,6,6,0,12,18,1,1,1,2025/7/2 15:42,examine1,類似回答（オンライン形式）
mcll69xvddcgubiz4f,2,7,0,6,1,6,1,1,6,2025/7/2 15:42,examine1,類似回答（オンライン形式）
mcll5l2iepz2wdz81b,3,7,0,6,1,53,0,1,6,2025/7/2 15:45,examine1,実験未完了
mcll5l2iepz2wdz81b,11,7,3,3,7,87,0,1,5,2025/7/2 15:46,examine1,実験未完了
mcll5l2iepz2wdz81b,4,6,6,0,12,88,0,1,1,2025/7/2 15:46,examine1,実験未完了
mcll5l2iepz2wdz81b,6,6,3,3,6,77,0,1,2,2025/7/2 15:46,examine1,実験未完了
mcll5l2iepz2wdz81b,10,7,6,0,13,62,0,1,4,2025/7/2 15:46,examine1,実験未完了
mcll5l2iepz2wdz81b,12,6,0,6,0,0,0,1,3,2025/7/2 15:47,examine1,実験未完了
mcll6x95i4b8ac15l6.eee,5,6,3,3,6,43,0,1,2,2025/7/2 15:46,examine1,類似回答（サマリー形式）
mcll6x95i4b8ac15l6.eee,4,7,0,6,1,38,0,1,6,2025/7/2 15:46,examine1,類似回答（サマリー形式）
mcll6x95i4b8ac15l6.eee,8,6,0,6,0,36,0,1,3,2025/7/2 15:46,examine1,類似回答（サマリー形式）
mcll6x95i4b8ac15l6.eee,9,6,6,0,12,40,0,1,1,2025/7/2 15:46,examine1,類似回答（サマリー形式）
mcll6x95i4b8ac15l6.eee,12,7,3,3,7,43,0,1,5,2025/7/2 15:47,examine1,類似回答（サマリー形式）
mcll6x95i4b8ac15l6.eee,6,7,6,0,13,41,0,1,4,2025/7/2 15:47,examine1,類似回答（サマリー形式）
mcll7awiiqdirr6496.p77,3,7,3,3,7,70,0,1,5,2025/7/2 15:56,examine1,実験未完了
mcll7awiiqdirr6496.p77,12,6,6,0,12,60,0,1,1,2025/7/2 15:57,examine1,実験未完了
mcll7awiiqdirr6496.p77,7,6,3,3,6,60,0,1,2,2025/7/2 15:57,examine1,実験未完了
mcll7awiiqdirr6496.p77,5,7,6,0,13,60,0,1,4,2025/7/2 15:57,examine1,実験未完了
