user_id,trial_order,sample_number,stimulus_type,estimate,predictive_prob_pec,diagnostic_prob_pce,first_sample_number,second_sample_number,first_type,second_type,corr_predictive_user,corr_diagnostic_user,corr_diff_user
mcll5n2tno4ajmj2cj.sss,1,6,predictive,0.0,1.0,0.5384615384615384,6,2,predictive,intermediate,-0.9068481168131104,0.9670815710663799,-1.8739296878794902
mcll5n2tno4ajmj2cj.sss,2,2,intermediate,20.0,0.6666666666666666,0.6666666666666666,6,2,predictive,intermediate,-0.9068481168131104,0.9670815710663799,-1.8739296878794902
mcll5n2tno4ajmj2cj.sss,3,1,diagnostic,40.0,0.5,1.0,6,2,predictive,intermediate,-0.9068481168131104,0.9670815710663799,-1.8739296878794902
mcll5n2tno4ajmj2cj.sss,4,4,diagnostic,50.0,0.5384615384615384,1.0,6,2,predictive,intermediate,-0.9068481168131104,0.9670815710663799,-1.8739296878794902
mcll5n2tno4ajmj2cj.sss,5,5,intermediate,10.0,0.7,0.7,6,2,predictive,intermediate,-0.9068481168131104,0.9670815710663799,-1.8739296878794902
mcll5n2tno4ajmj2cj.sss,6,3,predictive,0.0,1.0,0.5,6,2,predictive,intermediate,-0.9068481168131104,0.9670815710663799,-1.8739296878794902
mcll63uzmmcu60sol7,1,5,intermediate,0.0,0.7,0.7,5,6,intermediate,predictive,-0.21521507763770265,0.09524188032377551,-0.31045695796147815
mcll63uzmmcu60sol7,2,6,predictive,-55.0,1.0,0.5384615384615384,5,6,intermediate,predictive,-0.21521507763770265,0.09524188032377551,-0.31045695796147815
mcll63uzmmcu60sol7,3,3,predictive,62.0,1.0,0.5,5,6,intermediate,predictive,-0.21521507763770265,0.09524188032377551,-0.31045695796147815
mcll63uzmmcu60sol7,4,4,diagnostic,20.0,0.5384615384615384,1.0,5,6,intermediate,predictive,-0.21521507763770265,0.09524188032377551,-0.31045695796147815
mcll63uzmmcu60sol7,5,2,intermediate,40.0,0.6666666666666666,0.6666666666666666,5,6,intermediate,predictive,-0.21521507763770265,0.09524188032377551,-0.31045695796147815
